p1,p2
,What? That's not? Oh my God.
"I like it. I do, I think it's a Ten.",Even Mary Tyler Moore would've been better.
"Come on, Monica, things could be worse. You could get caught between the moon and New York City. I know it's crazy, but it's true.",Thank you. My hair is very amused.
"Well, I gotta go. Bye. Bye, Rach.",Thank you.
"Yeah, that's kinda what I meant by ""bye!""","Wait, are you leaving?"
Okay.,"Well, can I talk to you for a sec?"
That's ok.,"Hey, when the doctor does that hernia test..."
"Well, first of all, Paulo and I are not back together. It was just a stupid thing I did, and if I could go back in time and do it again, well, I wouldn't. Um, second of all , what?",What's goin' on?
No. No-no-no-no.,"Ok. Well, before I say anything, I just need to know, is this one of those things where you break up with a guy, and then I tell you what I think, and then the next day you get back together with the guy, and I look like a complete idiot?"
Really?,"Well, then, I think, I think the guy is scum. I hate him. I mean I actuallyI-I physically hate him. I always have. You are way too good to be with a guy like that."
"No, I think that was the whole all.","You deserve to be with someone who appreciates you, and who gets how funny and sweet and amazing, and adorable, and sexy you are, you know? Someone who wakes up every morning thinking ""Oh my god, I'm with Rachel"". You know, someone who makes you feel good, the way I am with Julie. Was there a second of all?"
"I swear to god, Dad. That's not how they measure pants.",Okay. Okay. Okay.
"I was thinking of doing it a little shorter, you know, like Andie McDowell's new haircut?",
Really?,"Oh yeah! Oh, I can do that."
Great!,You wanna do it right now?
No. No no no no no. That's Rodney McDowell. Andie McDowell is the guy from Planet of the Apes.,"Ok, I just wanna be really sure this time. Andie McDowell's the girl from Four Weddings and a Funeral, right?"
You're welcome.,"Oh, yeah. Ok, thank you."
"Ok, these were unbelievably expensive, and I know he's gonna grow out of them in like, 20 minutes, but I couldn't resist.",
"Oh, is he hungry already?","Oh, look at these! Hey, Ben. Just do it. Oh my God, oh, ok, was that too much pressure for him?"
"You know, it's... something funny about sneakers. I'll be right back.",I guess so.
What are you guys doing?,"I gotta get one, too."
"Look, would you guys grow up? That is the most natural beautiful thing in the world.",We're just hanging out by the spoons. Ladle?
"This is my son having lunch, ok? It's gonna happen a lot, so you'd better get used to it. Now if you have any problem with it, if you're uncomfortable, just ask questions. Carol's fine with it, now come on.","Yeah, we know, but there's a baby suckin' on it."
Carol? I was just wondering if Joey could ask you a question about breast-feeding?,Carol?
"Uh, does it hurt?",Sure.
Chandler?,"It did at first, but not anymore."
As much as he needs.,"So, uh, how often can you do it?"
,"Ok, I got one, I got one. Uh, if he blows into one, does the other one get bigger?"
"Yeah, I forget which ones.","Rachel, do you have any muffins left?"
No thanks.,"Oh, you're busy, that's ok, I'll get it. Anybody else want one?"
Thank you. What a bitch.,"Oh, you're losin' your apron here, let me get it. There you go."
"I can't, I have to take my grandmother to the vet.","Oh, listen you guys. I have this friend at Bloomingdale's who's quitting tomorrow and he wants to abuse his discount. So, anyone want to come with me and take advantage of it?"
Great.,"Ok, um, I'll go with you."
"Hey, sweetums.","Hi, honey."
Hi!,Hello to the rest.
"It's gonna be a problem, isn't it?",Monica what're you doin'? You can't go shopping with her? What about Rachel?
But I'm...,"Come on, you're going to Bloomingdale's with Julie? That's like cheating on Rachel in her house of worship."
"So, uh, Jules tells me you guys are going shopping tomorrow?","Monica, she will kill you. She will kill you like a dog in the street."
"It's a big deal to me. This is great, Monica. I really appreciate this.","Yeah, uh, it's actually not that big a deal."
"Woof, woof.",You're welcome.
Bijan for men? Bijan for men? Bijan for men? Hey Annabelle.,
Who?,"Hey, Joey. So did you hear about the new guy?"
Hombre?,Nobody knows his name. Me and the girls just call him the Hombre man.
I guess he doesn't know.,What's he doin' in my section?
Mornin'.,"Well, he's gonna. I'll see you a little later, ok? Hey, how ya doin'?"
"Your territory, huh?","Listen, I know you're new, but it's kinda understood that everything from Young Men's to the escalator is my territory."
No thanks.,Yeah. Bijan for men?
Yeah. All right.,Hombre?
,You were saying?
What?,"Phoebe, listen. You were with me, and we were shopping all day."
"Oh, all right. What did I have?","We were shopping, and we had lunch."
"Oh, no wonder I don't feel full.",You had a salad.
"I went shopping with Monica all day, and I had a salad.","Hey, guys, what's up."
"Um, we went shopping for um, for, fur.","Good, Pheebs. What'd you buy?"
"Yes, and then I realized I'm against that, and uh, so then we bought some, uh, boobs.",You went shopping for fur?
Bras! We bought bras! We bought bras.,You bought boobs?
"Bijan for men? Bijan for men? Bijan for... Hey, Annabelle, Uh, listen, I was wondering if maybe after work you and I could go maybe grab a cup of coffee.",
"Ready, Annabelle?","Oh, actually I sorta have plans."
"Hey, it's not the first time I lost a girl to a cowboy spraying cologne. Bijan for men? Bijan for men?!",You bet. Maybe some other time?
"Ok, and this is Funny Clown. Funny Clown is only for after his naps, not before his naps or he won't sleep.",
"Honey, relax. Ross is great with him. Don't look so surprised. I'm a lovely person.","Carol, we've been through this before, ok? We have a good time. We laugh, we play. It's like we're father and son."
"Oh, I got that for him.","Oh, this is so cute."
"Hello? Oh, Hi, Ju Hi, Jew! Uh huh? Uh huh? Ok. Um, sure, that'd be great. See ya then. Bye.",My mommies love me. That's clever.
"Yes. Uh, yes, I did. That was my friend, Eddie Moskowitz. Yeah, he likes it. Reaffirms his faith.","Did you just say Hi, Jew?"
"Ben, dinner!",
"Duh, I think I know how to heat breast milk. Ok.","Thanks Aunt Pheebs. Hey, you didn't microwave that, did you, because it's breast milk, and you're not supposed to do that."
"I licked my arm, what?",What did you just do?
So?,It's breast milk.
What is the big deal?,"Phoebe, that is juice, squeezed from a person."
"Ok, would people stop drinking the breast milk?",What did you just do?
No!,You won't even taste it?
Not even if Carol's breast had a picture of a missing child on it.,Not even if you just pretend that it's milk?
"Hey, where is everybody?",
"Just out. Had some lunch, just me, little quality time with me. Thanks for your jacket.",They took Ben to the park. Where've you been?
Okay.,"Oh, no problem. You can borrow it, by the way. Here are your keys, hon."
You know what probably happened? Someone musta stolen my credit card.,"Mon, if uh you were at lunch alone, how come it cost you uh 53 dollars?"
That is an excellent excellent question. That is excellent.,And sorta just put the receipt back in your pocket?
Judy.,"Monica, what is with you? Who'd you have lunch with?"
Julie.,Who?
Jody!,What?!
"Look, when it started I was just trying to be nice to her because she was my brother's girlfriend. And then, one thing led to another and, before I knew it, we were...shopping.",You were with Julie?
"Honey, wait. We only did it once. It didn't mean anything to me.",Oh. Oh my God.
"Really, Rachel, I was thinking of you the whole time. Look, I'm sorry, all right. I never meant for you to find out!","Yeah, right. Sure!"
That is not true!,"Oh, please, you wanted to get caught."
Did it ever occur to you that I might just be that stupid?,"Oh, so you just sort of happened to leave it in here?"
,"Ok, Monica. I just have to know one thing. Did you go with her to Bloomingdale's? Oh! Ok, ok, ok, I just really, uh, I just really need to not be with you right now."
Hey!,"Hi, who's this? Hi, Joanne. Is Rachel working? It's Monica. Yes, I know I did a horrible thing. Joanne, it's not as simple as all that, ok? No, I don't care what Steve thinks. Hi, Steve."
"Oh, I tasted Ben's milk, and Ross freaked out.",How did we do?
Why'd you freak out?,I did not freak out.
My breast milk is gross?,Because it's breast milk. It's gross.
"No, no, Carol. There's nothing wrong with it. I just, I just don't think breast milk is for adults.",This should be fun.
"Ross, you're being silly. I've tried it, it's no big deal. Just taste it.",Of course the packaging does appeal to grown-ups and kids alike.
Come on. It doesn't taste bad.,That would be no.
Cantaloupe juice.,"Yeah, it's kinda sweet, sorta like, uh..."
You've tasted it? You've tasted it.,Exactly.
"Oh, you've tasted it.",Uh huh.
Gimme the bottle. Gimme the towel.,"You can keep saying it, but it won't stop being true."
Howdy.,
"Well, maybe it's because of the way you're dressed.","Gimme a box a juice. Well, they switched me over to Hombre."
What do you care? You're an actor. This is your day job. This isn't supposed to mean anything to you.,"Or maybe it's because this guy's doing so good they wanna put more people on it. You should see this guy, Chandler, he goes through two bottles a day."
"All right, say you do that. You know sooner or later somebody's gonna come along that slices a better cheddar. And then where're you gonna run?","I know, but, I was the best, you know? I liked being the best. I don't know. Maybe I should just get outta the game. They need guys up in housewares to serve cheese."
You're damn right I'm right. I say you show this guy what you're made of. I say you stand your ground. I say you show him that you are the baddest hombre west of the lingerie.,Yeah I guess you're right.
All right. Now go see Miss Kitty and she'll fix you up with a nice hooker.,I'm gonna do it.
I don't know what else to say.,
"I feel terrible, I really do.","Well that works out good, because I'm not listening."
"Rachel, say that I'm friends with her, we spend some time together. Is that so terrible?","Oh, I'm sorry, did my back hurt your knife?"
It's that terrible?,Yes.
"Me? What are you talking about? Nobody could steal me from you. I mean, just because I'm friends with her doesn't make me any less friends with you. I mean, you're my...We're, we're...Oh, I love you.","Yes. Monica, you don't get it. It's bad enough that she's stolen the guy who might actually be the person that I am supposed to be with, but now, she's actually , but now she's actually stealing you."
"You guys, um I know that this really doesn't have anything to do with me, but um I love you guys too. Oh, I really needed that.",I love you too.
"I'd do anything for you, you know that.","Look, I know that you're in a place right now where you really need to hate Julie's guts, but she didn't do anything wrong. I mean, she was just a girl who met a guy, and now they go out. I really think that if you gave her a chance, you'd like her. Would you just give that a chance, for me?"
"Wait, wait, wait, wait!",I'd do anything for you.
"Mornin'. I said, mornin'.",
"All right, everybody, I'm openin' the doors. You boys ready?",I heard ya.
"Yeah, I'm ready.",Ready.
"Oh my god, Todd! What the hell did you do?","You idiot, you stupid cowboy, you blinded me, I'm suing!"
"My god, what happened?","I'm sorry. I am such a doofus. I'm so sorry, I'm so sorry."
Sure.,"These new kids, they never last. Sooner or later, they all...stop lastin'. Listen, uh, what do you say I buy you that cup of coffee now?"
So.,
"I know, I probably shouldn't even tell you this, but I'm pretty much totally intimidated by you.","So. I just thought the two of us should hang out for a bit. I mean, you know, we've never really talked. I guess you'd know that, being one of the two of us, though, right?"
"Yes. Oh my god, are you kidding? Ross is so crazy about you, and I really wanted you to like me, and, it's probably me being totally paranoid, but I kinda got the feeling that maybe you don't.",Really? Me?
Oy.,"Well, you're not totally paranoid."
"Thanks. Hey, listen, would you like to go to a movie sometime or something?","Um, ok, uh, oh god, um, when you and uh Ross first started going out, it was really hard for me, um, for many reasons, which I'm not gonna bore you with now, but um, I just, I see how happy he is, you know, and how good you guys are together, and um, Monica's always saying how nice you are, and god I hate it when she's right."
"I'd love it too. Shoot, I gotta go. So, I'll talk to you later.","Yeah, that'd be great. I'd love it."
Bye.,"All right, Julie."
,Bye. What a manipulative bitch.
Hey.,That's not bad.
I broke up with her.,So how was Joan?
"Come on, they were not that huge.","They were huge. When she sneezed, bats flew out of them."
How many perfectly fine women are you gonna reject over the most superficial insignificant things?,"I'm tellin' you, she leaned back, I could see her brain."
You or me?,"Hold it hold it. I gotta side with Chandler on this one. When I first moved to the city, I went out a couple of times with this girl, really hot, great kisser, but she had the biggest Adam's apple. It made me nuts."
"You guys are messin' with me, right?","I got it. Uh, Joey, women don't have Adam's apples."
"That was a good one. For a second there, I was like, ""whoa.""",Yeah.
Maureen Rosilla.,You name one woman that you broke up with for a real reason.
"Hello, Mr. Heckles.",Not hating Yanni is not a real reason.
We're not doing anything.,You're doing it again.
You don't have birds.,You're stomping. It's disturbing my birds.
"Ok, Mr. Heckles, we'll try to keep it down.",I could have birds.
"All right, bye-bye.",Thank you. I'm going to rejoin my dinner party.
We'll give you Janice.,"Ok, Janice. Janice. You gotta give me Janice. That wasn't about being picky."
"""Oh, my, god.""","I miss Janice though. ""Hello, Chandler Bing."""
"Stop with the broom, we're not making noise.","""Oh, Chandler, now, now, that's it. There, faster!"""
Mr. Heckles.,We won. We won!
He musta been sweepin'. They found a broom in his hand.,How did this happen?
I know. I was sweepin' yesterday. It coulda been me.,That's terrible.
You never know.,"Sure, sweepin'. You never know."
"Ok, Phoebe.","Ok, it's very faint, but I can still sense him in the building. Go into the light, Mr. Heckles!"
Such as?,"I'm sorry, but sometimes they need help. That's fine. Go ahead and scoff. You know, there're a lot of things that I don't believe in, but that doesn't mean they're not true."
"Whoa, whoa, whoa. What, you don't, uh, you don't believe in evolution?","Like crop circles, or the Bermuda triangle, or evolution?"
You don't believe in evolution?,Nah. Not really.
"Too easy? Too...The process of every living thing on this planet evolving over millions of years from single-celled organisms, too easy?","I don't know, it's just, you know...monkeys, Darwin, you know, it's a, it's a nice story, I just think it's a little too easy."
"Uh, excuse me. Evolution is not for you to buy, Phoebe. Evolution is scientific fact, like, like, like the air we breathe, like gravity.","Yeah, I just don't buy it."
"You uh, you don't believe in gravity?","Ok, don't get me started on gravity."
"Uh-Oh. It's Isaac Newton, and he's pissed.","Well, it's not so much that you know, like I don't believe in it, you know, it's just...I don't know, lately I get the feeling that I'm not so much being pulled down as I am being pushed."
What can we do for you?,"There she is. And over there, that's the other one. This is Mr. Buddy Boyle, Mr. Heckles' attorney. He'd like to talk to you."
"Well, what about his family?","All right, kids. Here's the deal. According to my client's will, he wants to leave all his earthly possessions to ""the noisy girls in the apartment above mine""."
"Ok, so let's talk money.",He didn't have any.
"I can't believe that this whole time we thought he hated us. I mean, isn't it amazing how much you can touch someone's life, without even knowing it?...Would you look at this dump? He hated us. This is his final revenge!","All right, there was none. Let's talk signing. You be noisy girl number one, you be noisy girl number two."
"Actually, I think this apartment sullies the good name of crap",Have you ever seen so much crap?
How can you not believe in evolution?,Check this out. Can I have this?
"Pheebs, I have studied evolution my entire adult life. Ok, I can tell you, we have collected fossils from all over the world that actually show the evolution of different species, ok? You can literally see them evolving through time.",Just don't. Look at this funky shirt!
"You bet. In the U.S., China, Africa, all over.",Really? You can actually see it?
"Well, there you go.","See, I didn't know that."
"Hey, look at this. ""My Big Book of Grievances.""","Huh. So now, the real question is, who put those fossils there, and why?"
"April 18th, excessive noise. Italian guy's gay roommate comes home with the dry-cleaning. Well that's excellent.","Hey, there's me! April 17th. Excessive noise. Italian guy comes homes with a date. Hey Chandler, look, you're in here too."
"Rache, I think we have enough regular lamps.","Monica, Monica, look at this lamp. Is this tacky or what? We have to have this."
It doesn't go with any of my stuff.,"What? Come on, it's not like I'm asking for this girly clock or anything, which, by the way, I also think is very cool."
You don't have any stuff.,"Well, what about my stuff?"
No.,"You still think of it as your apartment, don't you?"
Mmmmm.,"Yes you do. You think of it as your apartment, and I'm just somebody who rents a room."
"Ok, Pheebs. See how I'm making these little toys move? Opposable thumbs. Without evolution, how do you explain opposable thumbs?","Ok, while you ""mmm"" on it for awhile, I'm gonna go find a place for my new lamp."
Please tell me you're joking.,Maybe the overlords needed them to steer their spacecrafts.
"No, no, Pheebs, we can't, ok, because--","Look, can't we just say that you believe in something, and I don't."
Is there blood coming out of my ears?,"What is this obsessive need you have to make everyone agree with you? No, what's that all about? I think, I think maybe it's time you put Ross under the microscope."
"Wow, he looks so normal.","Check it out, check it out. Heckles' high school yearbook."
"""Heckles, you crack me up in science class. You're the funniest kid in school.",He's even kind of cute.
That's what it says.,Funniest? Heckles?
I'd call that excessive.,"Wow, Heckles was voted class clown, and so was I. He was right. Would you listen to that?"
What?,Whoa!
"So, you were both dorks. Big deal.","Heckles played clarinet in band, and I played clarinet. And he was in the scale modeler's club, and I was, well, there was no club, but I sure thought they were cool."
Have you been here all night?,"I just think it's weird, you know? Heckles and me, Heckles, and me, me and Heckles...Would you knock it off?"
"Chandler, Heckles was a nut case.","Look at this. Pictures of all the women that Heckles went out with. Look what he wrote on them. Vivian, too tall. Madge, big gums. Too loud, too smart, makes noise when she eats. This is, this is me. This is what I do. I'm gonna end up alone, just like he did."
"All right, you know what we gotta do? We gotta get you outta here. Come on, I'll buy you breakfast, let's go.","Our trains are on the same track, ok? Yeah, sure, I'm coming up 30 years behind him, but the stops are all the same. Bitter Town. Aloneville. Hermit Junction."
"Chandler, come on, you're gonna find somebody.","What if I never find someone? Or worse, what if I've found her, but I dumped her because she pronounced it ""supposably""?"
"I don't know, I'm just tryin' to help you out.",How do you know that? How?
"Well, I don't know. I don't know what we're gonna be doin'. I mean, what if we're at her folks' place?","You'll see, you guys are all gonna go off and get married, and I'm gonna end up alone. Will you promise me something? When you're married, will you invite me over for holidays?"
"You can come over and watch the Super Bowl. Every year, all right?","Yeah, I understand."
Supposably. Supposably. Did they go to the zoo? Supposably.,You know what? I'm not gonna end up like this. I'll see you man.
"Oh, my, god.","Hi, it's me."
"Yes, Janice. Why is that so difficult for you to comprehend?",Janice? You called Janice?
"Yes. She was smart, she was pretty, and she honestly cared about me. Janice is my last chance to have somebody.","You remember Janice, right?"
"Oh, my, god!",Helloo!!
"Hey, it's everybody.","Geez, look how fat she got."
"Yes, I am.","Janice, you're--"
"Is it yours? Ha! You wish, Chandler Bing. You are looking at a married lady now.",Is it--?
"Oh, sweetie, I'm sorry.",Congratulations.
And what? Missed the expression on your face? Janice likes to have her fun.,You couldn't have told me about this on the phone?
What?,"Hey, Rache. You know what we haven't played in a while?"
"Monica, let it go.",Hide the Lamp.
"Well, then, you'll just have to eat the other lamps.",Did you know I was allergic to shellfish?
"Ok, Phoebe, this is it. In this briefcase I carry actual scientific facts. A briefcase of facts, if you will. Some of these fossils are over 200 million years old.",Uh-oh. It's Scary Scientist Man.
"It's the only possibility, Phoebe.","Ok, look, before you even start, I'm not denying evolution, ok, I'm just saying that it's one of the possibilities."
"There might be, a teeny, tiny, possibility.","Ok, Ross, could you just open your mind like this much, ok? Wasn't there a time when the brightest minds in the world believed that the world was flat? And, up until like what, 50 years ago, you all thought the atom was the smallest thing, until you split it open, and this like, whole mess of crap came out. Now, are you telling me that you are so unbelievably arrogant that you can't admit that there's a teeny tiny possibility that you could be wrong about this?"
What?,I can't believe you caved.
I am. Let me just get my coat.,"You just abandoned your whole belief system. I mean, before, I didn't agree with you, but at least I respected you. How, how, how are you going to go into work tomorrow? How, how are you going to face the other science guys? How, how are you going to face yourself? Oh! That was fun. So who's hungry?"
"Oh, please, Monica. You've always hated my lamp, and then, all of a sudden, it's just magically broken?","Ok, all right. It was an accident, I swear, all right. I was putting on my jacket, and the thing, and the lamp, and it broke."
"Ok, I didn't see it, because I was putting on my jacket, but I uh want to believe you.","Phoebe, tell her!"
Neat. I'm gonna die alone.,Hey Chandler. Monica just broke my seashell lamp.
"Chandler, you're not gonna die alone.","Ok, you win."
Uh huh. Why is that?,"Janice was my safety net, ok? And now I have to get a snake."
You have got to get over this. You're not gonna end up alone.,"If I'm gonna be an old, lonely man, I'm gonna need a thing, you know, a hook, like that guy on the subway who eats his own face. So I figure I'll be Crazy Man with a Snake, yknow. Crazy Snake Man. And I'll get more snakes, call them my babies, kids will walk past my place, they will run. ""Run away from Crazy Snake Man,"" they'll shout!"
"Chandler, you have just described virtually every man that we have ever gone out with.","Of course I am. I reject anyone who's crazy enough to actually go out with me, and then I bitch about the fact that there aren't any great women out there."
She's right. She's right. You are no different than the rest of them.,You are not a freak. You're a guy.
In a bad way?,"Wait a minute, wait a minute. Yes he is. You are totally different."
Yeah. You're not gonna end up alone.,"No, honey, in a wonderful way. You know what you want now. Most guys don't even have a clue. You are ready to take risks, you are ready to be vulnerable, and intimate with someone."
You made it!,"Chandler, you called Janice! That's how much you wanted to be with someone!"
You are ready to make a commitment!,You're there!
What you got there? Something else that's not yours that you can break?,Whoa! Don't know about that.
Thank you.,"No. Um, I know you like this, and I want you to have it. I think it'll look good in our apartment."
"Hey. Well, you will all be pleased to know that I have a date tomorrow night. This woman, Alison, from work. She's great. She's pretty, she's smart. And uh, I've been holding off on asking her out in the past, because she has an unusually large head. But, I'm not gonna let that stuff hang me up anymore. Look at me. I'm growing.",That's fine.
I'll take that.,"Hey, uh, you can't recycle yearbooks, can you?"
"Yeah, yeah. Some people said some nice things about him. I think somebody should have it.",You want his yearbook?
It's really not that big!,"Oh, gosh, this is so weird. I mean, his whole life was in this apartment, and now it's gone. You know, I think it would be nice if we just took a few moments, for Mr. Heckles. I mean, he was kind of a pain, he was, but, he was a person. You're all going to hell."
"Oh, yeah.","Takin' that with you, huh?"
"Yeah, jus' second. Good-bye Mr. Heckles. We'll try to keep it down.",You comin'?
Sure.,"Oh, my major was totally useless. I mean, how often do you look in the classifieds and see ""Philosopher wanted""?"
"Mom, would you relax. That was 10 blocks from here and, the, the woman was walking alone at night, I would never do that. Mom, c'mon, stop worrying. This is a safe street, this is a safe building, there's nothing OH MY GOOOD, oh my God, oh I gotta go, I gotta go, I gotta go. OK, that's fine, you just read the paper, I'm gonna get a pot, it's not for you. OK, that's fine, read the Family Circus, enjoy the gentle comedy. Aaahh, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, aaaaahh. It's open you guys.",
"Hi, hi can I help you?",Hi.
"Uh, no she doesn't but I can, I can get a message to her.","Yeah, I'm looking for Phoebe, does she still live here?"
What?,"Great. Uhh, just tell her her husband stopped by."
,"Hey, how, how did you do that?"
"Well, I mean, I'm not married married, ya know, he's just a friend and he's gay and he's just from Canada and he just needed a green card.","This is unbelievable Phoebs, how can you be married?"
"I'm sorry Monica but I knew if I told you, you'd get really, like, judgemental and you would not approve.","I can't believe you married Duncan. I mean how could you not tell me? We lived together, we told each other everything."
"You see, and you thought she'd be judgemental.","Of course I wouldn't approve, I mean, you were totally in love with this guy who, hello, was gay. I mean, what the hell were you thinking?"
"Please, when he left town you stayed in your pajamas for a month and I saw you eat a cheeseburger.","OK, I wasn't in love with him and I was just helping out a friend."
"Well, didn't you?",Huuh.
I can't believe you didn't tell me.,I might have.
What have I not told you?,"Oh, c'mon, like you tell me everything."
What!,"Oh, I don't know. Umm, how about the fact that the underwear out there on the telephone pole is yours from when you were having sex with Fun Bobby out on the terrace."
I didn't know it was a big secret.,"Wait a minute, who told you? You are dead meat."
You have a third nipple?,"Oh it's not big, not at all, you know, kinda the same lines as, say, oh I don't know, having a third nipple."
"Whip it out, whip it out.",You bitch.
"Oh as, as opposed to your other multi-functional nipples?","C'mon, there's nothin' to see, it's just a tiny bump, it's totally useless."
"Joey, what did you think a nubbin was?",I can't believe you. You told me it was a nubbin.
"Yeah, show it. Show it. The nubbin, the nubbin, the nubbin.","I don't know, you see somethin', you hear a word, I thought that's what it was. Let me see it again."
Huuh.,Joey was in a porno movie.
You were in a porno?,"If I'm goin' down, I'm takin' everybody with me."
That is wild.,"Ahh, alright, alright, alright, I was young and I just wanted a job, OK. But at the last minute I couldn't go through with it so they let me be the guy who comes in to fix the copier but can't 'cause there's people havin' sex on it."
"Yeah, is there a hair on it?",So what's it shaped like?
,What happens if you flick it?
"Why yes Ross, pressing my third nipple opens the delivery entrance to the magical land of Narnia.","So, uh, does it do anything, you know, special?"
"Huh? Are, uh, any of these cultures, per chance, in the tri-state area?","You know, in some cultures having a third nipple is actually a sign of virility. You get the best huts and women dance naked around you."
"Ooh, Julie's so smart, Julie's so special.","You know, you are so amazing, is there anything you, you don't know?"
"Ohh, I'm gonna have to get over it. God, see I didn't know that's I had to do, I just have to get over it.","Look honey, I wanted you to hook up with Ross as much as you did. But he's with her now and you're just gonna have to get over it."
Foxy lady.,Woah.
"Um, I'm gonna go meet Duncan, he's skating tonight at the Garden, he's in the Capades.",Where you goin'?
"No, no the gravel capades. Yeah, the turns aren't as fast but when Snoopy falls. . . funny.",The Ice Capades?
"OK, no. For your information I'm going to see him so I can put all those feeling behind me. OK, and the reason I'm dressed like this is because I think it's nice to look nice for your gay husband.","I can't believe you're dressing up for him. I mean, you're just, you're setting yourself up all over again."
"Oh I see, I see, because of the third nipple thing. Ha ha ha ha. . .","Oh, darnit, we're all out of milk. Hey Chandler, would you fill me up here?"
"OK sweetie, I'll see you later.",
Bye-bye Julie.,See you later Rach.
Hey.,Hey.
Hey?,"Hey, c'mon, cut it out."
Can I ask you somethin'?,What?
Naa.,Sure.
"OK, what's the longest you've been in the relationship before ha, have, having the sex?","What? C'mon, talk to me."
"Technically, huh, no.","Why? Who's not having. . . Are you and Julie not, are, are you and, are you and Julie not having sex?"
"No, no, she's great and it's not like we haven't done anything. I mean, uh, uh, we, we do plenty of other stuff, lot's of other stuff, like uhh. . .","Wow. Is it, is it 'cause she's so cold in bed. Or, or is it 'cause she's like, kinda bossy, makes it feel like school?"
"It's just, it's, it's me. You, you know I've only been with one woman my whole life and she turned out to be a lesbian. So now I've got myself all psyched out, you know, and it's become, like this, this thing and I. . . Well, you just must think I'm weird.","No, no no no, don't need to know the details."
What?,"No, no, no, no I don't think it's weird, I think, I think umm, in fact, in fact you know what I think?"
Sexy?,I think it's sexy.
No kidding?,Let me tell you something. As a woman there is nothing sexier than a man who does not want to have sex.
What?,Oh yeah. In fact you know what I'd do?
You'd wait?,I'd wait.
Really?,"Yes, absolutely. I would wait and wait. . . then I'd wait some more."
Women really want this?,"Oh yeah, I don't care how much she tells you she wants it, I don't care if begs, she pleads, she tells you she, she's gonna have sex with, with another man. That just means it's working."
,More than jewelry.
Phoebe!,Hi.
Hey.,Ta-da.
"Ahh, look at you, you look great.",Hi.
Thanks.,"Do I? Thank you, so do you."
You always said I'd make it.,"Sparkly. So, wow, this is pretty wonerful, huh. Mr. major capades guy. I, I remember when you were just, like, King Friday in Mr. Roger's Ice is Nice."
I missed you. I'm gonna get changed.,"Yeah, well, ya know, I'm kind of spooky that way. Wooo."
"Um, now. Phoebs.",OK.
What?,"Oh, right, OK. Ole."
,"Um, the matador. Ole, ha ha ha."
"Uh, Julie.","Julie, can you hold this for a second, thanks."
"Sorry, you had a paleontologist on your face. But, uh, it's gone now, you're alright.",Yeah?
Hi.,Hi everyone.
"Oh, God, no problem. So you're gonna go with the uh, waiting thing?","I just, I wanted to thank you for our uh, our little talk before."
"What did, what did he say?","Well, I was going to, but after I talked to you, I talked to Joey."
,"Basically he told me to get over myself and just do it, ya know. So I though about what you said and I though about what he said and, well, his way I get to have sex tonight so. . ."
Pop it in.,What's this in my pocket? Why it's Joey's porno movie.
"Great, people having sex, that's just what I need to see.","I'm fine with it, I mean, if you're OK watching a video filled with two nippled people."
"Well, well um, you know, these movies are offensive and uh, degrading to women and females. And uh, and the lighting's always unflattering. And, Monica help me out here.",What's wrong with people having sex?
"So is there like a story or do they just stard doing it right. . . oh, never mind.","Hell, I wanna see Joey."
"All I say is, she better get the job.","OK, now wait a minute. That is the craziest typing test I've ever seen."
"Shh, OK, here I come, here I come. See I'm comin' to fix the copier, I can't get to the copier, I'm thinkin' what do I do, what do I do. . . so I just watch 'em have sex. And then I say, wait, here's my line, you know that's bad fo r the paper tray.",Looks to me like he's the one getting the job.
"Thank you. Wait wait wait wait, you see me again. Hang on, the guy's butt's blockin' me. There I am, there I am, there I am, there I am, there I am. . .",Nice work my friend.
"So um, so what's up, you came to see me yesterday.",
Ohh. . .K. How come?,"Oh, yeah, um, alright, I kinda need a divorce."
What?,"Umm, actually, I'm getting married again."
Huuh.,"Oh God, I don't know how to tell you this. I'm straight."
"I, I don't, I don't understand, how can you be straight? I mean, you're, you're so smart and funny and you throw such great Academy Award parties.","Yeah, I know, I."
So how long have you known?,"I know, that's what I kept telling myself but you just reach a point where you can't live a lie anymore."
"And um, and there's actually a, a woman?","Well I guess on some level I always knew I was straight. I though I was supposed to be something else, you know, I'm an ice dancer, all my friends are gay, I was just tryin' to fit in."
"Oh. Well is she, is she the first that you've been with?",Her name's Debra.
Sure.,"Well, I've never told you this but, there were one or two times, back in college, when I'd get really drunk, go to a straight bar and wake up with a woman next to me. But I, I, I told myself it was the liquor and e-everyone experiments in college."
"I, I don't know what to say. I mean, you know, you're married to someone for six years and you think you know him and then one day says, 'Oh, I'm not gay.'","But now I know I don't have a choice about this, I was born this way."
Why couldn't you have just figured this out six years ago?,"I'm, I'm still me."
"You know, it still smells like monkey in there.",
"Well, listen, this has been great but I'm officially wiped.",That saves us a conversation.
"No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore.","Me too, we should get goin'."
"Maybe that's all we do, what about Julie?","Rachel, that's all we do."
"Well, you have been in our lives for nearly two months now and we don't really know you. I mean, who is Julie? I mean, what do you like, what don't you like? We wanna hear everything.",What about Julie?
"So. I mean, who here does not have the time to get to know Julie?","Well, that could take a while."
I got time.,I got the time to get to know Julie.
