p1,p2
"Alright, I hope you realize you're not getting these underpants back.",
"I can't believe this, just like 2 weeks ago I was watching Sudden Death, now I'm on a date with Jean-Claude Van Damme. Can you beat up that guy? Can you beat up that guy?",Sure.
"This is so wild. Ya know, I gotta admit, I was kinda surprised that you agreed to go on a blind date.","Normally, I would not do it."
"Well, what made you make the exception for me?","'Cause Rachel told me uh, you were dying to have a threesome with me and uh, Drew Barrymore. By the way, Drew has some groundrules and..."
,Say you're sorry.
No.,Say it.
No.,"Rachel, you say you're sorry or your sweater gets it."
"OK, OK, that is my favorite sweater, that is my third date sweater.",Say you're sorry.
"OK, you wanna play? OK, let's play, let's play.",What're you gonna do?
You give me back my sweater or it's handbag marinara.,You don't have the guts.
"Oh yeah. Well, at least I wasn't too chicken to tell some guy I thought he was cute.","Oh alright, stop, STOP THE MADNESS. This is crazy. Who can even remember why this even started in the first place?"
"Yes that's right. But still, I-, look at your purse, look at your sweater, look at yourselves.",I'll help you fix your sweater.
I'll help you throw out your purse.,I'm sorry that I made you stop seeing him.
"Well, I'm sorry I went out with him when I knew you liked him.",I'm sorry that I borrowed your gloves
,
Joey?,Ma?
Joey!,"Chandler? What're you still doin' here, I though you guys took off."
"Oh, no no no, she took off with my clothes.",Are you naked in there?
Not exactly. . . I'm wearin panties.,"Huh, you uh, you always wear panties?"
"No, no, this is the first time.","Wow, talk about your bad luck, I mean, the first time you try panties and someone walks off with your clothes."
"I was not trying them out, Susie asked me to wear them.","Well, let me see."
"No. I'm not letting you or anybody else see, ever.","Alright, alright. Woah, someone's flossing."
"Joey, some people don't like that.",Chandler's wearing panties.
What? Let me see.,"No, no, you don't have to see."
Hi Tushie.,"Alright, one of you give me your underpants."
"Can't help you, I'm not wearing any.",How can you not be wearing any underwear?
"Oh, I'm gettin' heat from the guy in the hot pink thong.",Alright look Ross I'll give you 50 dollars for your underpants.
Hi.,
"Hey Phoebs, can I have the milk after you?","I'm almost done with it, keep your panties on."
"Hey, hey, and I'm in the movie.",What happened?
"One of the virus victims called in sick, so Cathy recommended me and boom, I'm dying on the gurney. Oh Ross, Marcel just finished his last scene if you want to go down there and say goodbye.","Ahh, oh that's OK, I mean, he's probably got, you know, parties to go to and stuff. But, ya know, he's moved on. Hey, that, that's the way it goes right."
Oh my God.,What?
,"I'm sorry it didn't work out between you and me, or you and me. Drew was very disappointed."
"OK, well, bye.",Goodbye.
"Well, bye for me too.","OK, well, bye-bye again."
OK.,"Perhaps, uh, the three of us, just could. . ."
"Oh, no no no no no.","Are you sure, I can crush a walnut with my butt."
No no no no.,Impressive.
But no. Maybe if I were baking.,Bye-bye.
,"Bye Marcel. See ya on the big screen. You keep people drinkin' that beer, OK. I miss you buddy."
"You know, I think I want to write a song about all this.",Oh yeah.
"Yeah. Oh, except one of the strings on my guitar is broken. Hey, Chandler, can I borrow your G-string?",How long you been waitin' to say that?
About 20 minutes. CLOSING CREDITS,
"Can't you see what's going on here, this man is dying.",Aaaaagggghhhhh.
Cut.,"Can't you see what's going on here, this man is dying."
Aaaaagggghhhhh.,Cut.
"Can't you see what's going on here, this man is dying.",Aaaaagggghhhhh. Mommy
Cut.,"Can't you see what's going on here, this man is dead."
,Hey.
Hey. Hold on a second. Huh?,"Nice, nice. Hey I got somethin' for you. [hands Chandler an envelope."
What's this?,Eight hundred and twelve bucks.
"Well, I don't know what Big Leon told ya but it's an even thousand if you want me for the whole night. What is this for?","Well, I'm makin money now and this is payin' you back for head shots, electric bills, and so many slices of pizza I can't even count. I love ya man."
"Well, thanks man. Now I can get my pony.","Hey, this is a little extra somethin' for uh, ya know, always bein' there for me."
"Wow, I don't know what to say. Wow, I, I don't know what to say.","Heh, what d'ya say?"
I don't know. It's a bracelet.,"Isn't it? And it's engraved too, check it out."
To my best bud. Thanks best bud.,Put it on.
"Oh, now? No, no, I think something this nice should be saved for a special occasion.","Oh, no no, that's the beauty part, it goes with everything. You put this on, you're good to go. Ohhh man, you are so wearin' that bracelet."
I so am.,You have any idea what this'll do for your sex life?
"Well, it'll probably slow it down at first but, once I get used to the extra weight, I'll be back on track.",
"Well, this all looks good.",Great.
And if I want to call for a reference on your last job?,"Oh, that's there on the bottom, see the manager, Chandler Bing."
"Alright, lets see if you're as good in person as you are on paper. Make me a salad.","A salad? Really I, I could do something a little more complicated if you like."
"No, just a salad will be fine.",You got it.
"Now, I want you to tell me what you're doing while you're doing it.","Alright, well I'm tearing the lettuce."
Uh-huh. Is it dirty?,"Oh-oh, no no don't worry, I'm gonna wash it."
"Don't, I like it dirty.",That's your call.
"So, uh, what are you going to do next?","Well, I thought that I would cut up the tomatos."
"Are they, uh, firm?",They'r alright.
"You sure they haven't gone bad? You're sure they're not very, very bad?","No really, they're OK."
You gonna slice them up real nice?,"Actually, I was gonna do them jullienne."
Aaaahhhhhhh.,I'm outa here.
,"Y-ello. No, Rachel's not here right now, can I take a message? Alright, and how do we spell Casey, is it like at the bat or and the Sunshine Band? OK, bye-bye. Hey, who's this uh, this Casey?"
"Oh, some guy she met at the movies.","Oh really? What uh, what does he want with her?"
"Well, I'm guessing he wants to do a little dance. . . ya know, make a little love. . . well pretty much get down tonight.","I don't know, I don't get, I don't get it, I mean, wh, wh, two months ago Rachel and I were like, this close. Right now, what, I'm takin messages from guys she, she meets at the movies? I mean this, this Casey should be takin' down my messages, ya know, or, or, Rachel and I should be together and, and we should get some kind of me, message service."
"Hang in there, it's gonna happen.","Wha, OK, now how do you know that?"
Because she's your lobster.,"Oh, she's goin' somewhere."
"C'mon you guys. It's a known fact that lobsters fall in love and mate for life. You know what, you can actually see old lobster couples walkin' around their tank, ya know, holding claws like. . .","Hey, you feelin' better?"
"Yeah, I think that fifth shower actually got the interview off me.","So, do you have any other possibilities?"
"Oh yeah, well there's the possibility that I won't make rent.","Monica, if you want, I can lend you some money."
"No no no, if I couldn't pay you back right away then I'd feel guilty and tense every time I saw you.","Oh OK. Well then why don't you, uhh, why don't you borrow it from mom and dad? You feel guilty and tense around them already. You might as well make some money off of them."
"Ya know, the man's got a point.",What is that sparkly thing?
"That thing, it's a uhh. . . yeah it's, it's a little flashy.","No no, no no, it's not flashy, not for a Goodfella."
"Man, man that is sharp. It must have cost you quite a few debloons.",
Hi.,Hi.
Hi darling.,"So, what's this."
Some of your old stuff.,"Well sweetie, we have a surprise for you. We're turning your room into a gym."
"Wow, that is a surprise. Just one little question, uh, why not Ross's room?","Gosh, we talked about that but your brother has so many science trophies and plaques and merit badges, well we didn't want to disturb them."
"Oh, God forbid.","Oh, hi Rachel."
Hi.,"Oh, we were so sorry to hear about your parents splitting up, dear."
"Oh, well, you know, they're just separated so, you know, never know, we'll see.","Well, I can't say any of us were surprised. Your parents have been unhappy ever since we've known them. Especially after that incident in Hawaii."
"What, what incident?","Uhh, naa, no no no, I, I must be thinking of someone else, uh, maybe me. Don't you have some folding to do? Go fold dear. Fold. You fold."
,Do you want a refill?
"No, I'm alright, thanks.","OK. Ooh, OK, you gotta give me a second, I wanna get this just right. Dude, 11 o'clock, totally hot babe checkin' you out. That was really good, I think I'm ready for my penis now."
"I know what you're thinking, Dave Thomas, founder of Wendy's.",I'm Gail.
Chandler.,"I, I really have to be somewhere but it was nice meeting you."
"What? Oh this is excellent. You know he coulda gotten me a VCR, he coulda gotten me a set of golf clubs, but no, he has to get me the woman repeller, the eyesore from the Liberace house of crap.",It's not that bad.
"Oh, yeah, easy for you to say, you don't have to walk around sporting some reject from the Mr. T collection.","Chandler, Chandler."
"I pity the fool who puts on my jewelry, I do, I do. I pity the fool that. . . Hi. Hey man, we were just doin' some uhh, impressions over here. Do your Marcel Marceau. That's actually good.",
"Would you look at that guy, I mean how long has he been talking to her. It's like, back off buddy she's a waitress not a geisha.",I think she's OK.
"Look at that, look at that, see how she's pushing him away and he won't budge. Alright, I'm gonna do something. Excuse me, are you Rachel?",What?
"I'm Ross Geller. Wha, I'm, God in your add you said you were pretty but wow.","What are you, what are you doin'?"
"Oh, oh my God, is this the wrong day? I don't believe it, uh, well, hey, I guess if it works out we'll, we'll have something to tell the grandkids.","Sure will. I've uh, gotta go. Take care."
"OK, see ya later, nice meeting you. You're welcome.",What?
I was saving you.,"Saving, saving, saving me from the pleasant conversation with the interesting man, saving me?"
"Oh, see from where I was sitting I uh. . .","OK, Ross, listen to me, I am not yours to save."
"But, you are.",What?
"Uh, uh, well you're, umm, you're my lobster.","OK, you know what, are, are you being like, the blind date guy again?"
"No no, you're uh, you're my lobster. See um, lobsters, uhh, in the tank when, when they're old, uhh, they get with, uhh, they walk around holding the claws. In the tank, ya know, with, with the holding and. . . Uhh, Phoebs you wanna help me out with the, the whole lobster thing?",Do the claws again.
"Rach. OK, forget, forget the lobsters OK. We're, let's talk, what about us?","Ross, there is no us, OK."
"No, but. . .","No, listen to me. I fell for you and I get clobbered. You then fall for me and I again, somehow, get clobbered. I'm tired of being clobbered, ya know, it's, it's just not worth it."
"Well, but, but. . .","NO but Ross. We are never gonna happen, OK. Accept that."
"E-except, except that what?","No, no, ACC-cept that."
Oh.,
"Hey man, look it's my best bud. How ya doin? Wow, you are really gettin' good at that Marcel Marceau thing. Hey, whaddya say uh, we play some ball, you and me, huh, whaddya say? OK, that's my bad.","If you hated the bracelet so much, Chandler, you should have just said so."
"Well, doesn't the fact that I wore the bracelet even though I hated it say something about our friendship and how much it means to me?","Well, what about the fact that you insulted the bracelet and you made fun of me?"
"OK, well that's the part where I'm a wank. But I was hoping we wouldn't focus on that. Hey, c'mon man, I said I was sorry like a hundred times, I promise I will never take it off my. . . wrist. But if, if you want to stay in there and be mad, you know, you just uh, you stay in there.",You know what the. . .
"I am here, on my knees, holding up these couch cushions as a symbol of my sorrow and regret, much like they did in biblical times. Though you may haveth anger now. . .",
"You know, that Steffi Graf has quite a tush. I'm just saying, it's right there.",Hey guys.
"Hi, darling. Where's my grandson, you didn't bring him?","No, he's at uh, Carol's and Susan's today."
A woman in my office is a lesiban. I'm just saying.,"Oh, Jack look, there's that house paint commercial that cracks you up."
Where have you been?,"Emotional hell. So, did they lend you the money yet?"
"No, but that's probably 'cause I haven't asked them yet.","C'mon Monica, do it. Hey, you guys, um, Monica has some news."
"Um, yeah, so uh, uhh, listen, I'm sorry I didn't tell you this before but umm, I, I'm no longer at my job, I, I had to leave it.",Why?
Because they made me.,You were fired? What're you gonna do?
"Judy, Judy, relax, this is our little harmonica we're talking about. We taught her well. Ten percent of your paycheck, where does it go?",In the bank.
"There you go. So she dips into her savings, that's what it's there for. She's gonna be fine, and if you need a little extra, you know where to find it.",Anything larger back there?
,I can't believe it.
Would you stop already? Get out of the bitter barn and play in the hay.,"Oh, you're right I, I should play in the hay. Forget about the fact that I just dropped 400 dollars to replace a bracelet that I hated to begin with. Bring on the hay."
Hey. I've got something that's gonna make you happy. Guess what Gunther found?,"Hey now you have two. Oh, now you have two."
"What am I gonna do, huh?",Hey.
Hey.,How come you have two?
Well this one's for you.,Get out.
"No, I can't. No no, listen, I, I know how much this means to you and I also know that this is about more than just jewelry, it's about you and me and the fact that we're best buds.","Wow, is this friendship? I think so. Check it out, we're bracelet buddies."
That's what they'll call us.,
"Here you go, you can pay me back whenever you like.",You have dinosaur checks?
"Yeah, yeah I mean, you get your money and you learn a little something, what's wrong with that?","Nothin', nothin', hey you're a cheapasaurus. I'm kidding, I'm kidding, thank you, I'm very greatful."
"Hey, Mon, what is this?","Oh, um, that was my bathing suit from high school. I was uh, a little bigger then."
"Oh, I thought that's what they used to cover Connecticut when it rained.","Hey Monica, what's on this video tape?"
"Hey, you got me, put it in.",Oh.
Hi.,Hi.
"Over here Jack. OK. I see, Rachel's coming up the path. Oh doesn't she look pretty. Jack, get this.",Oh my God.
What is with your nose?,"They had to reduce it because of, of my deviated septum."
"OK, I was wrong, that's what they used to cover Connecticut.","You know what this is, this is us getting ready for the prom."
Oh.,"You know what, you guys, we don't have to watch this."
Oh yeah we do. C'mon.,Get a shot of Monica. Where's Monica.
Over here dad.,"Wait, how do you zoom out? There she is."
Some girl ate Monica.,"Shut up, the camera adds ten pounds."
"Ahh, so how many cameras are actually on you?","Oh, you look so great."
"Ahh, so do you, beautiful.",Oops.
What?,"Shoot, I think I got mayonaise on you."
"Oh, that's OK, it's just the shoulder, it's not my dress.",Everybody smile.
"Oh, dad, turn it off.",It is off.
"Dad, it is not. What's with the red light?",It's the off light. Right Ross?
Lookin' good Mr. Cotter.,You look pretty tonight.
"Oh, thanks. So, uh, what are you gonna do this summer?","Oh, you know, I'm just gonna, I'm gonna hang out, work on my music."
"Is my hook unhooked? These things keep falling down, I can't. . .","Uh, hold, let me see, I don't know. So what're you gonna do. . ."
"Oh, the guys are here.",this summer?
Work on your music?,"Oh my God, look there's Roy Gublik."
"Ya know, Roy saw Star Wars 317 times. His name was in the paper.","Where's Chip, why isn't he here yet?"
"He'll be here OK, take a chill pill.",I just told Rachel that Roy touched my boob.
"I can't go to my own prom without a date, I can't, it's too late.",If you're not going then I don't want to go either.
"Oh, I'm gonna kick Chip's ass.",I have a wonderful idea. You should take Rachel to the prom.
Doubtful.,"Jack, give me that. Talk to your son."
"Your mother's right. Take her, you can wear my tux.","Dad, she won't want to go with me."
"Of course she would, you're a college man.",I don't know.
"Well, c'mon. Don't ya want to find out?","I can't believe I don't get to go to my own prom, this is so harsh."
OK. Hold my board.,Atta boy.
"OK, you guys, ya know, I think we've seen enough, let's turn it off.","No, no, no."
"OK, fine, well I'm not gonna watch, alright.","C'mon kid, let's go."
"Ahh, are you hadsome.",Let's show 'em.
"Uh, just a sec dad. OK, be cool, just be cool. OK dad.","Rachel, ready or not, here comes your knight in shining. . . oh no."
Bye.,"Oh, dear. Jack, how do I turn this off?"
Press the button.,"Which one? Which button, Jack."
"The button, the button.",I can't believe you did that.
"Yeah, well.","See, he's her lobster."
,Dance with him.
"Mom, I'm hungry.",Dance with your father.
I may not know any of your flash dances but I'm no slouch on the dance floor.,Alright.
"Oh, Jack.","Oh, Judy. Oh, Judy."
"Oh, ohhhhh.",
"Alright, no peeking. No peeking, no peeking, no peeking.","Alright, alright, but you better be wearing clothes when I open my eyes."
Alright open your eyes.,Sweet mother of all that is good and pure.
Huh? Days of our Lives picked up my option.,Congratulations!
I know. chandler: Now we can finally watch Green Acres the way it was meant to be seen.,Uh-huh.
"So uh, which one is mine?","Whichever one you want, man. Whichever one you want. Not that one."
Ohh yes.,"Ohh yeah, that's the stuff."
Do we dare?,We dare.
Aaahhhh. AAAAHHHHHH.,
I can't believe two cows made the ultimate sacrifice so you guys could watch TV with your feet up.,Well they were chair-shaped cows. They never would have survived in the wild.
"This screen is amazing, I mean Dick Van Dyke is practically life-size.",Woah!
"Rose Marie really belongs on a smaller screen, doesn't she?",Hi you guys.
Hey.,Hey you.
Hey you.,"Woah, hey, yo."
"So, uh, how was your day?","Oh you know, pretty much the usual, uh, sun shining, birds chirping."
Really? Mine too.,"Hey cool, mine too."
"Yeah, yeah, yeah. I got to get to the museum. So um, I'll see you tonight.",OK.
Bye guys.,Bye.
Tonight?,"Hey, yo."
What's tonight?,It is our first official date. Our first date.
"Uh, hello.",Hi.
"Tonight you're supposed to waitress for me, my catering thing, any of those words trigger anything for you?","God, oh God Monica, I forgot. This is our first date."
Yes but my mom got me this job.,"OK, I can be a waitress, I can be a waitress."
"Oh, thank you, thank you, thank you, thank you. See Phoebe, Phoebe.","Really Phoebs? Because, you know, you'd have to be an actual waitress. This can't be like your 'I can be a bear cub' thing."
"I can be a waitress. OK watch this. Um, gimme two number ones, 86 the bacon, one Adam and Eve on a raft and rick'em, la-la-la-la-la, la-la-la-la-la.",
It's James Bond.,Sorry we're late.
"Ah, that's OK, come on in. Um, I'm sorry, is Monica Geller coming? I was told she was.","Dr. Burke, it, it's me."
"Monica? My God you used to be so. . . I mean you, you, you, you must have lost like. . . You look great.",Thank you. This is my friend Phoebe. She's gonna be helping me tonight.
"Hi Phoebe, nice to meet you. So, how ya been?","I've been great, just great. How have you been?"
"Oh, well obviously you know Barbara and I split up, otherwise you wouldn't have done the head tilt.",The head tilt?
"Yeah, since the divorce, when anybody asks me how I am, it's always with a sympathetic head tilt. 'How ya doin'? You OK?'",I'm sorry.
"No no, it, it's fine, believe me. I do it too. I always answer with the 'I'm OK' head bob. 'I'm OK.' 'You sure?' 'Yeah, I'm fine.' Hey listen, I've got to set up the music. I got a new CD changer, of course the divorce only left me with 4 CD's to change.","Oh, that's too bad."
I'll survive.,
"Uh, two larges, extra cheese on both. But listen, don't ring the buzzer for 19, ring 20, Geller-Green, they'll let you in, OK. If you buzz our door, there's no tip for you. OK, thanks. Pizza's on the way. I told you we wouldn't have to get up.",What if we have to pee?
I'll cancel the sodas.,
"You've got to get back out there, it's your party.","But they're so dull, they're all opthamologists."
You're an opthamologist.,"Only because my parents wanted me to be, I wanted to be a sherrif."
"That's funny, no. Cadillac, cataract, I get it, no I get it, you stay out there.",See.
"Alright, I'll tell you what. I'll come get you in 5 minutes with some sort of um, kabob emergency.","OK. You better. Oh God, here we go. Hey wanna see 'em go nuts? Watch this. Who needs glasses?"
You are so smitten.,I am not.
"Oh, you are so much the smitten kitten. You should ask him out.","Dr. Burke? I don't think so. I mean, like, he's a grown up."
So. You two are totally into each other.,"Phoebe, he's a friend of my parents. He's like 20 years older than me."
"OK, so what, you're just never gonna see him again?","Not never. I mean, I'm gonna see him tomorrow at my eye appointment."
"Didn't you like, just get your eyes checked?","Well yeah, but, you know, uh, 27 is a dangerous eye age."
,"C'mon, I'm not saying it was a bad movie, I'm just saying, you know, it was a little. . . hard to follow."
I told you there was going to be sub-titles.,"I know, I just didn't want to wear my glasses on my first date."
Monica.,It would really help when I'm kissing you if you didn't shout out my sister's name.
"Honey, I'm just checking.",Oh.
Monica.,Mon.
Monica.,Mon.
"What, what.","I'm sorry. Oh God, I'm sorry, it's just that when you moved your hands down to my butt, it was like woah, Ross's hands are on my butt. Sorry."
"And that's, that's funny why?","Well it's not, honey I'm sorry, I guess I'm just nervous. I mean, it's you, ya know, it's us. I mean, we're crossing that line, sort of a big thing."
"I, I know it's big, I just didn't know it was uh, ha-ha big.",OK.
"OK, my hands were no where near your butt.","I know, I know, I know, I know. I was just thinking about when they were there the last time, I'm sorry. I'm sorry, I'm sorry. OK, OK, look, woah, I promise, I'm good, I'm not gonna laugh anymore. OK put your hands back there."
"No see now, now I can't because uh, I'm feeling too self conscious.",Just one cheek.
"Nuh, uh, the moment's gone.","Alright, just put your hands out and I'll back up into them."
That's romantic.,C'mon touch it.
No.,"Oh, come on squeeze it."
No.,Rub it.
No.,"Oh, come on, would you just grab my ass."
,"Wow, look at that. The car is on fire, yet somehow it's expensive paint job is protected by the Miracle Wax."
You got a Cheeto on your face man.,Hi.
Hey.,What're you doin' here? Aren't you supposed to be out with Rachel?
That was 14 hours ago.,So how'd it go?
"Oh. Listen, have you ever been uh, you know, foolin' around with a girl and uh, she started laughin'?","Yeah, but uh, it was 1982 and my flock of seagulls haircut was tickling her chin."
She laughed at you?,"Yeah. I don't know, I've been wanting this since like ninth grade typing, ya know. And I just want it to be perfect and right and. . . why isn't that laser beam cutting through the paint?"
It's the Miracle Wax.,It certainly is a miracle.
Hi you guys.,Hey.
Hey.,"Hi. Listen, I was um, thinkin' about. . ."
"Listen can you guys uh, speak up, it's harder for us to hear you when you lower your voice.","OK, listen, I'm sorry about last night and I really want to make it up to you."
"No, you, ya know there's no need to make it u. . . how?","Well, I was thinking maybe a um, a romantic dinner with um, candles and wine and then uh, maybe going back to my place for um, dessert."
"Humm, that sounds, I don't, perfect.",What's this.
Could you get us a couple of beers?,
I'm going to look into your eyes now.,Really.
"Yeah, that's my job. Alright, look up. . . look down, now open your eyes, now look down. That's right, look into the light. Now look at me. . . OK. Your eyes look good. Those are good eyes.","Good, they feel good, in my head."
"So, it's great to see ya.",You too.
You too.,"OK, um. Goodbye."
Drops!,What?
"Drops. Here, they're free.","Thanks. So, I guess I better be going."
"Oh, OK, yeah. I'll see ya later.",Thanks again.
,We have got to get you lazy boys out of these chairs.
"Hey, woah, hey, woah.",You know you should go outside and be with the three-dimensional people.
"No, inside good, outside bad.","You guys are so pathetic, I, oh, OH, XANADU! OH."
She's one of us now.,Hi you guys.
Hey.,Hey.
"Well we just wanted to stop by and uh, say goodnight.",Goodnight.
"Look at that, they won't even turn their heads.","Alright you guys, I'm takin' off my shirt."
"Naa, she's lyin'.",Stop sending food to our apartment.
"Well, why're you all dressed up?",You're not the only one who has a date tonight.
What? You have a date? Who with?,No one.
"C'mon, what's his name?",Nothing.
"Come on, tell me.","Alright, but I'm very excited about this OK, so you gotta promise you won't get all big-brothery and judgmental."
"Oh, I promise, what.",It's Richard Burke.
"Who's Richard Burke? Doc, Doctor Burke? You have a date with Doctor Burke? Why, why, why should that bother me? I, I love that man, he's like a uh, brother to dad.","Well for your information he happens to be one of the brightest, most sophisticated, sexiest men I've ever been with."
Doctor Burke is sexy?,"Oh God, absolutely."
"It's the museum again, can I, oh.","Ya know, Dr. Burke kissed me once."
When?,"When I was um, 7, I crashed my bike right out in front of his house and to stop me from crying he kissed me right here."
Oh you are so lucky.,I know.
"Woah, woah, woah australopithicus isn't supposed to be in that display. No. No. No, n, homo-habilus was erect, australopithicus was never fully erect.",Well maybe he was nervous.
,"Oh look, I can't believe this. Look, homo-habilus hasn't even learned how to use tools yet and they've got him here wi, with clay pots. Why don't, why don't they just give him a microwave? I'm sorry, I'm sorry this is taking so long, ya know, I, I, it's just it's longer than I expected, we will have dinner."
"It's OK, it's fine.",KARL!
,"Wow, is that Michelle?"
Yep.,"I've not seen her since high school graduation. Oh my God, that night she got so dru. . . motional."
"Ya know, she's having another baby.",I thought she just had one.
"No no. Henry's almost two and he's talking and everyting. Here. You know, the other day he told me he liked me better than his other grandpa. Now in all fairness his other grandpa's a drunk but still. . .","Oh, you're a grandpa."
Yeah. Are we nuts here?,"I don't know, maybe. I mean I'm dating a man who's pool I once peed in."
"I didn't need to know that. I guess 21 years is a lot. I mean, hell, I'm a whole person who can drink older than you.",Yeah.
So.,So maybe we should just. . .
"Yeah, yeah, maybe.","Wow, this really sucks."
"Yeah, it sure does.","Well, we don't really have to decide anything right now, do we?"
"No, no, there's no rush or anything.",Pizza delivery.
"Oh, I'm gonna kill those guys.",
Rach.,Oh.
I'm done.,"Yeah well, you know what, so is uh, Sorentino's."
"Wha, OK, I'm sorry, let's uh, why don't we find someplace else.","No, you know what, it's late, everything's gonna be closed. Why don't we just do it another night?"
"No, no, we won't.",We won't?
C'mon.,"OK, that's dead right?"
,What is this? What are we doing?
Shh. Do you want cran-apple or cran-grape?,Grape.
"OK, now, sit. OK.","Oh, God."
Sorry.,"Ah, so what are we looking at?"
"Well uh, you see that, that little cluster of stars next to the big one? That is Ursa Major.",Really?
"I've no idea, could be. Listen, I'm sorry I had to work tonight.","Oh it's OK. You were worth the wait, and I don't just mean tonight."
You're not laughing.,This time it's not so funny.
"Ah, oh God. Oh, honey, oh that's OK.","What. Oh no, you just rolled over the juice box."
"Oh, thank God.",
Hi.,Hi you. I can't believe I'm waking up next to you.
I know it is pretty unbelievaaaaah.,What?
We're not alone.,
,Is that the fire alarm?
"Yeah. Oh it's not warm yet, we still have time.",Cool.
,Man this is weird. You ever realize Captain Crunch's eyebrows are actually on his hat?
"That's what's weird? Joey, the man's been captain of a cereal for the last 40 years.",Waaa-aaah.
What?,The spoon. You licked and-and you put. You licked and you put.
"Yeah, so.",Well don't you see how gross that is? I mean that's like you using my toothbrush. You used my toothbrush?
"Well, that was only 'cause I used the red one to unclog the drain.","Mine is the red one! Oh God. Can open, worms everywhere."
"Hey, why can't we use the same toothbrush, but we can use the same soap?",Because soap is soap. It's self-cleaning.
"Alright, well next time you take a shower, think about the last thing I wash and the first thing you wash.",
Hey.,Hey.
Hey.,"Ooh, look at you fancy lads. What's the occasion?"
"Well, you know that guy that's on my show that's in a coma? He's havin' a brunch.",Ahh.
"OK, ready when you are.",Okey-doke.
I can't believe you guys are actually getting tattoos.,"Excuse me, you guys are getting tattoos?"
"Yes, but you can not tell Ross 'cause I want to surprise him.","Wow, this is wild. What're you gonna get?"
"Um, I'm getting a lily for my Mom. 'Cause her name's Lily.","Wow, that's lucky. What if her name was Big Ugly Splotch?"
So where you gettin' it?,I think on my shoulder.
What? What's on your shoulder?,"Um, a chip. A tattoo, I'm getting a tattoo."
"A tattoo? Why, why would you want to do that? Hi.","Hi. Well hey, you don't - you don't think they're kind of cool?"
"No, sorry I don't. Tell me why would anyone pay someone to scar their body for life? What if it doesn't come out right Phoebe? Then it's like, I don't know, havin' a bad hair cut all the time. Why's everyone staring at me?","Ross, come sign this birthday card for dad. Rich is gonna be here any minute."
"Oooh, Rich is goin' to the party too, huh?","Well, he's my parents' best friend, he has to be there."
"Oh, is today the day you're gonna tell them about you two?","Yeah. It's my dad's birthday, I decided to give him a stroke."
"No, I think you should tell them.","No, I don't even know how serious he is about me. Until I do, I'm not telling them anything."
"I don't know, I don't think mom and dad would mind. Remember when you were 9 and Richard was 30, how dad used to say, 'God I hope they get together.'",
"Alright, shall we?","OK, wait, wait, wait, wait. You know what? Ross, let's - let's switch places. You get in the middle. No un-, ya know, unless this looks like we're trying to cover something up."
"Monica, Monica, you could come in straddling him, they still wouldn't believe it. We're here.",Oh hi kids. Hi darling.
Happy birthday dad.,Oh thank you.
Hi ma.,Happy birthday.
"Well, you kids thank Dr. Burke for the ride?","Uh, actually mom, I think Monica thanked him for the both of us."
,"Well, you kids take the train in?"
"No, Richard Burke gave them a ride.","Oh. Speaking of whom, I hear he's got some 20-year-old twinkie in the city."
"Finger cramp. Oh God, sorry. Here, let me get that mom.","Sooo, Richard's shopping in the junior section."
Are we still on that?,We just know she's got the IQ of a napkin.
"She's probably not even very pretty, just young enough so that everything is still pointing up.",
Can you believe this place?,"I know, this is a great apartment."
"Ah, I was just in the bathroom, and there's mirrors on both sides of you. So when you're in there it's like you're peein' with the Rockettes.","Wow, there's my fantasy come true. No, seriously."
Hey.,"Hey! We were just sayin', great apartment man."
Thanks. You want it?,Huh?
"Yeah, I'm movin' to a bigger place. You should definitely take this one.","Yeah, can you see me in a place like this?"
Why not? You hate park views and high ceilings? C'mon I'll show you the kitchen.,"Oh that's all right fellas, I saw a kitchen this morning - on TV. Stop talking. OK."
,"C'mon, tell us."
"Yeah, is she really 20.",I am not telling you guys anything.
"C'mon Rich, it's my birthday, let me live vicariously.","Dad, you really don't want to do that."
"Ahh, what's a little mid-life crisis between friends?","Jack, would you let it go?"
"Look, I know what you're going through. When I turned 50 I got the Porsche. You... you got your own little speedster.","Guys. Seriously, it is not like that."
"Tell you what, maybe one of these weekends you can borrow the car and I cou. . .","Dad, I beg you not to finish that sentence."
What? I'm kidding. You know I'd never let him touch the Porsche.,
"OK Rach, which, which lily? This lily or that lily?",Well I. . .
"I like this lily. It's more open, ya know, and that's like my mom. She had a more open, giving spirit. Ooh, Foghorn Leghorn, ooh.","Alright, blonde girl, you're in room two, not so blonde girl, you're with me."
Here we go.,Uh-huh.
You're not going?,Uh-huh.
What? Is it - is this 'cause of what Ross said?,"No. Well, yeah, maybe."
"I don't believe this. Is this how this relationship's gonna work? Ross equals boss. I mean, c'mon what is this, 1922?",What's 1922?
"Just, you know, long time ago. Well, when men used to tell women what to do - a lot. And then there was suffrage, which is a good thing but is sounds horrible. Do you want to get this tattoo?","Yes I do, it's just that Ross is. . ."
"OK, hey, HEY. Is your boyfriend the boss of you?",No.
"OK, who is the boss of you?!!",You?
No. You are the boss of you. Now you march your heinie in there and get that heart tattooed on your hip. GO!!,
How ya doin'?,I'm a twinkie.
Really? I'm a hero.,"Oh, this is so hard."
"Yeah, I know. I hate it too. Look, maybe we should just tell them.",Maybe we should just tell your parents first.
